reputation_change_year,reputation_change_quarter,reputation_change_month,reputation_change_week,reputation_change_day,badge_bronze,badge_silver,badge_gold,account_age_days,expertise_level
60,60,60,20,0,36,34,6,5728,Expert
0,0,0,0,0,47,38,0,5239,Expert
0,0,0,0,0,62,56,9,6010,Expert
30,30,30,0,0,99,72,20,5232,Expert
0,0,0,0,0,100,70,4,5141,Expert
0,0,0,0,0,120,91,21,5936,Expert
20,20,20,10,0,140,92,9,5798,Expert
0,0,0,0,0,81,72,11,4917,Expert
20,20,20,0,0,85,64,8,5837,Expert
30,30,30,0,0,37,37,10,6011,Expert
10,10,10,10,0,273,197,72,5754,Expert
20,20,20,0,0,94,60,14,5704,Expert
11,11,11,0,0,72,50,5,5983,Expert
38,38,38,0,0,113,93,12,5556,Expert
50,50,50,0,0,88,56,7,4439,Expert
10,10,10,0,0,260,171,44,4678,Expert
10,10,10,0,0,68,59,3,5631,Expert
30,30,30,0,0,86,48,5,5290,Expert
10,10,10,0,0,90,68,8,4998,Expert
30,30,30,10,0,46,41,5,5253,Expert
70,70,70,10,0,154,98,12,4662,Expert
8,8,8,0,0,72,60,6,4798,Expert
0,0,0,0,0,160,96,10,5246,Expert
70,70,70,0,0,90,60,5,4269,Expert
40,40,40,10,0,78,53,6,4512,Expert
20,20,20,0,0,77,65,20,5921,Expert
0,0,0,0,0,104,66,15,4775,Expert
10,10,10,0,0,54,44,7,5983,Expert
0,0,0,0,0,52,34,7,3615,Expert
10,10,10,0,0,104,85,9,4596,Expert
20,20,20,0,0,52,44,6,3589,Expert
20,20,20,0,0,51,44,7,3207,Expert
70,70,70,20,10,174,102,44,3414,Expert
50,50,50,10,0,122,94,38,5521,Expert
20,20,20,0,0,67,51,3,4623,Expert
40,40,40,20,0,184,123,35,5731,Expert
28,28,28,10,0,113,85,30,5865,Expert
40,40,40,10,0,98,86,14,5669,Expert
10,10,10,0,0,44,33,8,5116,Expert
0,0,0,0,0,175,123,34,5389,Expert
10,10,10,0,0,52,39,1,4726,Advanced
10,10,10,0,0,36,31,1,4521,Advanced
0,0,0,0,0,28,23,9,4365,Advanced
0,0,0,0,0,61,41,6,5673,Advanced
10,10,10,0,0,47,33,4,5395,Advanced
0,0,0,0,0,81,54,8,3738,Advanced
0,0,0,0,0,59,39,1,3636,Advanced
0,0,0,0,0,65,45,5,4878,Advanced
10,10,10,10,0,20,17,3,2970,Advanced
20,20,20,0,0,98,55,3,5542,Advanced
0,0,0,0,0,27,19,3,5473,Advanced
20,20,20,0,0,63,43,2,4766,Advanced
0,0,0,0,0,62,44,8,4490,Advanced
10,10,10,0,0,33,19,2,4399,Advanced
20,20,20,0,0,24,24,3,5828,Advanced
20,20,20,0,0,15,23,2,5076,Advanced
0,0,0,0,0,129,83,22,4839,Advanced
0,0,0,0,0,68,37,4,4229,Advanced
10,10,10,0,0,59,46,12,5951,Advanced
20,20,20,0,0,57,46,5,5142,Advanced
0,0,0,0,0,68,34,1,4545,Advanced
30,30,30,0,0,18,19,2,3603,Advanced
0,0,0,0,0,38,18,2,2234,Advanced
0,0,0,0,0,25,32,4,5605,Advanced
0,0,0,0,0,98,45,6,5075,Advanced
0,0,0,0,0,54,47,13,4883,Advanced
20,20,20,0,0,46,34,11,4286,Advanced
0,0,0,0,0,37,29,1,4116,Advanced
0,0,0,0,0,35,34,2,5381,Advanced
0,0,0,0,0,25,24,1,5307,Advanced
0,0,0,0,0,54,32,7,5278,Advanced
20,20,20,10,0,58,41,15,3874,Advanced
40,40,40,0,0,50,40,0,3707,Advanced
0,0,0,0,0,68,41,6,5148,Advanced
20,20,20,0,0,61,38,6,4753,Advanced
0,0,0,0,0,61,42,3,5993,Advanced
30,30,30,0,0,38,32,10,5153,Advanced
10,10,10,0,0,44,29,0,4990,Advanced
0,0,0,0,0,38,31,1,4689,Advanced
0,0,0,0,0,53,38,7,4665,Advanced
20,20,20,10,0,25,29,2,4458,Advanced
0,0,0,0,0,30,33,9,5868,Advanced
0,0,0,0,0,111,72,14,5497,Advanced
20,20,20,10,0,60,46,5,4765,Advanced
0,0,0,0,0,61,43,3,5576,Advanced
20,20,20,0,0,38,39,12,5528,Advanced
20,20,20,0,0,105,65,15,5473,Advanced
40,40,40,0,0,35,29,4,4603,Advanced
10,10,10,0,0,99,60,13,4269,Advanced
0,0,0,0,0,94,65,9,5305,Advanced
0,0,0,0,0,52,37,2,5004,Advanced
0,0,0,0,0,38,30,2,4499,Advanced
0,0,0,0,0,46,30,2,4389,Advanced
8,8,8,0,0,66,39,5,4322,Advanced
10,10,10,0,0,36,28,2,3343,Advanced
30,30,30,0,0,25,21,1,3079,Advanced
10,10,10,0,0,37,28,2,2417,Advanced
0,0,0,0,0,61,57,20,5780,Advanced
70,70,70,60,0,34,29,1,5565,Advanced
10,10,10,0,0,97,64,14,5288,Advanced
0,0,0,0,0,31,26,3,5280,Advanced
0,0,0,0,0,43,34,3,5279,Advanced
10,10,10,0,0,41,32,3,5096,Advanced
10,10,10,0,0,30,26,5,5087,Advanced
0,0,0,0,0,54,39,3,4686,Advanced
20,20,20,0,0,37,35,3,4217,Advanced
10,10,10,0,0,78,46,9,3256,Advanced
10,10,10,10,0,70,39,4,5693,Advanced
0,0,0,0,0,64,51,15,5647,Advanced
18,18,18,10,0,84,54,6,5519,Advanced
10,10,10,0,0,53,32,1,4762,Advanced
40,40,40,10,0,35,19,3,3586,Advanced
0,0,0,0,0,37,42,2,6000,Advanced
20,20,20,0,0,38,25,4,5752,Advanced
0,0,0,0,0,45,30,8,5449,Advanced
0,0,0,0,0,41,31,4,4826,Advanced
10,10,10,0,0,73,42,8,4577,Advanced
20,20,20,0,0,47,37,2,4535,Advanced
20,20,20,0,0,132,73,18,4397,Advanced
20,20,20,0,0,40,27,6,4120,Advanced
20,20,20,0,0,30,26,4,2035,Advanced
0,0,0,0,0,89,65,7,5961,Advanced
0,0,0,0,0,73,46,14,5657,Advanced
30,30,30,10,0,57,43,11,4988,Advanced
20,20,20,0,0,38,28,0,4233,Advanced
10,10,10,0,0,144,65,14,4021,Advanced
20,20,20,10,0,19,20,5,3913,Advanced
10,10,10,0,0,54,29,3,2386,Advanced
20,20,20,0,0,18,26,1,4918,Advanced
0,0,0,0,0,17,20,1,4388,Advanced
0,0,0,0,0,31,24,5,3727,Advanced
0,0,0,0,0,25,33,6,6003,Advanced
10,10,10,0,0,36,30,4,5822,Advanced
0,0,0,0,0,41,30,3,5803,Advanced
0,0,0,0,0,45,37,12,4388,Advanced
0,0,0,0,0,64,56,13,5525,Advanced
10,10,10,10,0,89,66,8,4942,Advanced
20,20,20,0,0,49,34,2,4597,Advanced
0,0,0,0,0,67,52,4,4687,Expert
0,0,0,0,0,95,62,6,5668,Expert
30,30,30,10,0,71,44,8,5955,Expert
40,40,40,0,0,92,72,11,5549,Expert
30,30,30,0,0,172,144,16,4899,Expert
20,20,20,20,0,83,64,7,6019,Expert
30,30,30,0,0,99,68,16,5255,Expert
20,20,20,0,0,92,51,9,4136,Expert
50,50,50,10,0,75,44,2,5711,Expert
20,20,20,0,0,57,46,5,5501,Expert
80,80,80,10,0,221,129,36,4549,Expert
110,110,110,0,0,141,91,16,4365,Expert
10,10,10,0,0,107,66,8,5983,Expert
58,58,58,20,0,111,78,17,5425,Expert
10,10,10,0,0,94,58,5,5081,Expert
45,45,45,0,0,116,96,10,3667,Expert
60,60,60,0,0,116,90,11,5213,Expert
0,0,0,0,0,67,54,9,4853,Expert
0,0,0,0,0,52,42,2,4297,Expert
455,455,455,75,0,160,159,25,994,Expert
0,0,0,0,0,226,145,38,4995,Expert
90,90,90,10,0,14,17,1,3567,Expert
10,10,10,0,0,81,62,11,5941,Expert
20,20,20,0,0,63,56,4,4365,Expert
30,30,30,0,0,79,57,9,3836,Expert
50,50,50,0,0,103,81,23,5893,Expert
70,70,70,0,0,493,284,99,4655,Expert
50,50,50,10,0,57,49,11,5696,Expert
10,10,10,0,0,77,58,9,5058,Expert
30,30,30,0,0,96,81,6,3499,Expert
20,20,20,0,0,92,67,20,5408,Expert
50,50,50,0,0,90,52,10,5182,Expert
0,0,0,0,0,72,54,9,6016,Expert
0,0,0,0,0,87,64,11,4395,Expert
0,0,0,0,0,70,55,3,4297,Expert
70,70,70,0,0,127,104,19,5179,Expert
30,30,30,0,0,136,87,15,5194,Expert
30,30,30,10,0,86,71,18,5680,Expert
0,0,0,0,0,57,54,11,5120,Expert
82,82,82,10,10,440,257,78,5637,Expert
0,0,0,0,0,41,38,1,5985,Expert
10,10,10,0,0,51,55,8,5336,Expert
30,30,30,10,0,145,83,14,4186,Expert
20,20,20,0,0,90,70,7,4082,Expert
0,0,0,0,0,134,120,11,5570,Expert
100,100,100,20,0,66,43,6,4282,Expert
48,48,48,0,0,46,58,5,4198,Expert
20,20,20,10,0,39,37,6,3324,Expert
30,30,30,0,0,185,135,36,5628,Expert
10,10,10,0,0,66,59,4,5461,Expert
0,0,0,0,0,69,51,3,5484,Expert
10,10,10,0,0,143,89,22,4145,Expert
20,20,20,0,0,162,125,44,5616,Expert
30,30,30,0,0,53,58,6,5247,Expert
88,88,88,18,0,244,149,45,4356,Expert
40,40,40,10,0,89,61,8,3113,Expert
20,20,20,10,0,111,63,7,4591,Expert
0,0,0,0,0,229,132,24,4992,Expert
40,40,40,0,0,38,45,6,4885,Expert
10,10,10,10,0,78,70,9,3784,Expert
40,40,40,10,0,132,91,18,5164,Expert
40,40,40,10,0,189,134,35,5114,Expert
40,40,40,10,0,161,90,10,4405,Expert
40,40,40,0,0,61,59,18,6015,Expert
0,0,0,0,0,61,72,4,5801,Expert
30,30,30,0,0,74,58,4,5346,Expert
51,51,51,20,0,113,89,13,4486,Expert
80,80,80,10,10,173,100,16,4467,Expert
10,10,10,0,0,146,104,14,5600,Expert
0,0,0,0,0,125,84,15,4479,Expert
10,10,10,10,0,153,102,32,5586,Expert
0,0,0,0,0,50,42,6,5428,Expert
10,10,10,0,0,62,45,6,3369,Expert
10,10,10,10,0,98,80,19,5963,Expert
30,30,30,0,0,16,25,1,5880,Expert
50,50,50,10,0,98,66,7,3559,Expert
20,20,20,0,0,141,86,16,5986,Expert
30,30,30,10,0,76,67,12,4562,Expert
18,18,18,0,0,62,56,6,5480,Expert
10,10,10,0,0,118,84,25,5670,Expert
30,30,30,0,0,63,70,29,5791,Expert
20,20,20,0,0,21,21,4,4778,Expert
40,40,40,10,0,71,58,3,5387,Expert
40,40,40,10,0,246,154,39,4709,Expert
10,10,10,0,0,7,20,2,5984,Expert
20,20,20,0,0,151,99,15,5974,Expert
100,100,100,0,0,200,111,17,5571,Expert
20,20,20,0,0,91,63,5,5306,Expert
48,48,48,20,0,53,42,4,4840,Expert
0,0,0,0,0,90,63,10,4784,Expert
40,40,40,10,0,48,43,13,6010,Expert
64,64,64,20,0,440,248,68,5240,Expert
70,70,70,0,0,52,41,4,3416,Expert
30,30,30,0,0,188,132,44,5204,Expert
30,30,30,10,0,55,48,5,4653,Expert
0,0,0,0,0,74,60,19,6029,Expert
30,30,30,0,0,28,19,2,4019,Expert
50,50,50,10,0,52,38,4,4447,Expert
58,58,58,8,0,80,58,9,5953,Expert
0,0,0,0,0,73,61,8,5557,Expert
60,60,60,10,0,169,121,18,6012,Expert
10,10,10,0,0,71,51,9,5702,Expert
6,6,6,0,0,69,71,9,3914,Expert
20,20,20,0,0,111,68,8,5251,Expert
60,60,60,0,0,110,96,28,5873,Expert
20,20,20,0,0,42,36,12,4843,Expert
10,10,10,0,0,97,67,14,5683,Expert
10,10,10,0,0,127,80,18,5641,Expert
20,20,20,0,0,107,91,14,4248,Expert
20,20,20,10,0,61,38,6,4131,Expert
40,40,40,0,0,76,60,1,4184,Expert
110,110,110,20,0,181,103,36,4946,Expert
0,0,0,0,0,91,67,12,4673,Expert
30,30,30,0,0,55,53,6,4590,Expert
20,20,20,0,0,67,55,4,4224,Expert
0,0,0,0,0,72,62,3,5150,Expert
10,10,10,0,0,94,65,9,4671,Expert
20,20,20,0,0,144,82,15,4671,Expert
0,0,0,0,0,75,60,9,3817,Expert
40,40,40,10,0,112,81,13,4429,Expert
0,0,0,0,0,56,45,7,4167,Expert
10,10,10,0,0,102,68,11,4332,Expert
50,50,50,10,0,108,86,11,4996,Expert
30,30,30,0,0,99,72,9,5868,Expert
30,30,30,0,0,64,49,3,4903,Expert
70,70,70,0,0,82,77,10,4835,Expert
50,50,50,10,0,87,62,4,5837,Expert
0,0,0,0,0,75,60,11,6007,Expert
0,0,0,0,0,71,48,15,4886,Expert
0,0,0,0,0,59,67,6,5500,Expert
0,0,0,0,0,57,40,1,5302,Expert
50,50,50,0,0,113,80,14,4500,Expert
10,10,10,0,0,73,67,8,4282,Expert
20,20,20,0,0,89,71,13,4672,Expert
10,10,10,0,0,79,66,6,4526,Expert
12,12,12,0,0,176,104,11,5557,Expert
10,10,10,0,0,31,30,2,5001,Expert
38,38,38,8,0,254,141,35,4551,Expert
40,40,40,0,0,93,79,8,4033,Expert
30,30,30,10,0,77,47,8,5543,Expert
0,0,0,0,0,86,77,9,3761,Expert
40,40,40,0,0,75,73,6,4870,Expert
20,20,20,20,0,70,58,5,4718,Expert
10,10,10,0,0,30,34,6,6004,Expert
40,40,40,10,0,125,75,11,4630,Expert
20,20,20,20,0,40,43,6,4727,Expert
40,40,40,10,0,66,71,8,4762,Expert
10,10,10,0,0,104,80,7,5549,Expert
10,10,10,10,0,106,53,3,4584,Expert
50,50,50,0,0,86,60,4,5835,Expert
10,10,10,0,0,94,50,4,4520,Expert
20,20,20,10,0,17,18,1,5382,Expert
30,30,30,0,0,60,41,6,4918,Expert
50,50,50,10,0,380,219,42,5311,Expert
10,10,10,0,0,190,128,18,6003,Expert
0,0,0,0,0,40,35,7,4940,Expert
30,30,30,0,0,70,66,8,5791,Expert
10,10,10,0,0,59,55,5,5984,Expert
10,10,10,0,0,75,68,8,4846,Expert
0,0,0,0,0,61,48,17,5946,Expert
8,8,8,0,0,38,44,8,5984,Expert
0,0,0,0,0,110,86,14,5946,Expert
29,29,29,10,0,96,67,6,4695,Expert
30,30,30,0,0,46,31,2,4716,Expert
10,10,10,0,0,211,149,38,5533,Expert
78,78,78,0,0,86,52,10,4973,Expert
115,115,115,10,0,77,36,6,2350,Expert
19,19,19,0,0,64,31,4,1899,Expert
170,170,170,0,0,36,35,5,3293,Expert
80,80,80,20,0,42,28,8,4239,Expert
50,50,50,0,0,93,64,16,5723,Expert
40,40,40,0,0,60,58,10,5984,Expert
70,70,70,20,0,101,63,13,5391,Expert
20,20,20,0,0,174,102,18,4743,Expert
20,20,20,10,0,53,44,13,5438,Expert
30,30,30,20,0,142,99,28,5249,Expert
0,0,0,0,0,40,37,2,5253,Expert
82,82,82,20,0,172,112,38,4493,Expert
0,0,0,0,0,133,96,16,5640,Expert
10,10,10,0,0,56,56,10,5833,Expert
0,0,0,0,0,75,57,8,5574,Expert
60,60,60,10,0,136,74,23,4884,Expert
20,20,20,0,0,105,84,31,5946,Expert
20,20,20,0,0,34,43,6,5056,Expert
10,10,10,0,0,246,142,33,5016,Expert
20,20,20,0,0,67,46,5,4625,Expert
25,25,25,0,0,69,41,1,5321,Expert
10,10,10,10,10,105,75,20,6011,Expert
0,0,0,0,0,76,74,13,5981,Expert
50,50,50,20,0,101,89,17,5975,Expert
18,18,18,0,0,136,115,32,4660,Expert
30,30,30,0,0,79,65,12,4948,Expert
40,40,40,0,0,83,69,6,4658,Expert
50,50,50,0,0,47,37,4,5966,Expert
40,40,40,0,0,75,44,4,4737,Expert
10,10,10,0,0,38,26,7,4260,Expert
10,10,10,0,0,54,46,5,4514,Expert
10,10,10,0,0,34,16,6,1431,Expert
20,20,20,0,0,123,83,5,5334,Expert
0,0,0,0,0,99,89,11,5983,Expert
20,20,20,0,0,211,131,31,5000,Expert
10,10,10,0,0,65,73,3,4023,Expert
0,0,0,0,0,61,51,5,5984,Expert
50,50,50,0,0,94,82,8,4555,Expert
50,50,50,0,0,26,28,2,6026,Expert
10,10,10,0,0,87,45,6,3009,Expert
30,30,30,0,0,69,67,14,5978,Expert
0,0,0,0,0,80,60,6,5599,Expert
10,10,10,0,0,81,58,7,5065,Expert
20,20,20,0,0,84,92,10,5596,Expert
30,30,30,0,0,123,80,8,5441,Expert
10,10,10,0,0,94,83,13,5342,Expert
30,30,30,0,0,116,78,15,5154,Expert
30,30,30,10,0,49,39,4,5984,Expert
50,50,50,10,0,112,64,7,4585,Expert
60,60,60,20,0,192,106,25,4842,Expert
18,18,18,8,0,27,27,3,5982,Expert
40,40,40,0,0,220,131,26,5371,Expert
30,30,30,0,0,247,160,50,5837,Expert
30,30,30,0,0,81,61,7,5081,Expert
8,8,8,0,0,101,81,8,4736,Expert
10,10,10,0,0,64,45,1,5451,Expert
130,130,130,20,0,166,143,17,3052,Expert
20,20,20,0,0,121,91,18,4611,Expert
50,50,50,0,0,108,80,11,5187,Expert
0,0,0,0,0,115,80,7,4555,Expert
40,40,40,0,0,12,22,1,5766,Expert
58,58,58,0,0,76,34,4,4569,Expert
55,55,55,0,0,100,76,4,3173,Expert
60,60,60,10,0,169,142,15,4682,Expert
80,80,80,0,0,77,68,7,5837,Expert
68,68,68,0,0,58,54,11,6027,Expert
20,20,20,0,0,97,99,5,5849,Expert
10,10,10,0,0,88,49,9,5007,Expert
10,10,10,0,0,166,101,11,5120,Expert
70,70,70,0,0,134,85,5,4273,Expert
50,50,50,0,0,131,80,17,5584,Expert
0,0,0,0,0,104,72,5,5724,Expert
10,10,10,0,0,63,59,10,5984,Expert
68,68,68,0,0,29,27,2,4731,Expert
10,10,10,10,0,87,57,3,3936,Expert
30,30,30,10,0,60,57,7,5840,Expert
100,100,100,0,0,145,132,16,5386,Expert
35,35,35,0,0,99,66,7,3795,Expert
40,40,40,10,0,87,68,7,5988,Expert
40,40,40,0,0,323,210,64,5519,Expert
0,0,0,0,0,111,64,3,4811,Expert
20,20,20,0,0,151,99,16,5808,Expert
40,40,40,0,0,72,68,15,5983,Expert
80,80,80,0,0,246,174,62,6003,Expert
60,60,60,0,0,223,154,36,5668,Expert
30,30,30,0,0,84,72,8,4134,Expert
30,30,30,0,0,164,120,33,5891,Expert
0,0,0,0,0,59,41,4,4432,Expert
0,0,0,0,0,43,35,6,5885,Expert
70,70,70,0,0,187,124,26,5907,Expert
20,20,20,0,0,80,73,5,4778,Expert
120,120,120,10,0,122,84,23,4048,Expert
0,0,0,0,0,158,104,29,5813,Expert
10,10,10,10,0,139,126,10,5393,Expert
30,30,30,0,0,133,92,6,5947,Expert
10,10,10,0,0,55,47,7,3988,Expert
20,20,20,0,0,133,79,11,5752,Expert
80,80,80,10,0,191,120,39,4903,Expert
60,60,60,0,0,140,113,19,5868,Expert
50,50,50,10,0,446,268,109,4992,Expert
40,40,40,0,0,160,103,18,4485,Expert
0,0,0,0,0,119,73,7,4077,Expert
10,10,10,0,0,89,67,7,5999,Expert
40,40,40,10,0,90,84,11,4432,Expert
0,0,0,0,0,33,35,4,6009,Expert
40,40,40,0,0,84,62,11,5984,Expert
50,50,50,0,0,193,125,39,5620,Expert
80,80,80,0,0,116,79,15,5823,Expert
90,90,90,22,0,429,260,91,5681,Expert
50,50,50,0,0,95,70,5,4834,Expert
20,20,20,0,0,241,163,11,5029,Expert
34,34,34,0,0,237,137,41,4899,Expert
20,20,20,0,0,95,59,4,5427,Expert
28,28,28,10,0,154,99,15,4413,Expert
50,50,50,10,0,175,130,29,5539,Expert
30,30,30,0,0,289,149,38,5761,Expert
8,8,8,0,0,114,85,25,5842,Expert
90,90,90,10,0,96,80,28,3576,Expert
40,40,40,10,0,54,36,3,5158,Expert
10,10,10,0,0,52,31,1,3373,Intermediate
0,0,0,0,0,96,49,8,3090,Intermediate
0,0,0,0,0,21,12,0,2980,Intermediate
10,10,10,10,0,40,25,6,2925,Intermediate
10,10,10,0,0,43,23,5,2362,Intermediate
0,0,0,0,0,19,25,0,6022,Intermediate
0,0,0,0,0,12,21,3,5757,Intermediate
0,0,0,0,0,21,23,2,5752,Intermediate
0,0,0,0,0,62,41,7,5554,Intermediate
0,0,0,0,0,30,23,1,5440,Intermediate
0,0,0,0,0,32,26,4,5184,Intermediate
0,0,0,0,0,35,25,4,4988,Intermediate
0,0,0,0,0,40,27,1,4979,Intermediate
0,0,0,0,0,40,24,3,4805,Intermediate
0,0,0,0,0,42,31,1,4776,Intermediate
0,0,0,0,0,8,14,1,4728,Intermediate
0,0,0,0,0,22,17,0,4701,Intermediate
40,40,40,0,0,15,23,1,4595,Intermediate
0,0,0,0,0,30,19,2,4509,Intermediate
0,0,0,0,0,26,23,1,4482,Intermediate
10,10,10,0,0,21,20,2,4196,Intermediate
0,0,0,0,0,35,22,1,4098,Intermediate
0,0,0,0,0,31,20,3,3987,Intermediate
0,0,0,0,0,50,26,4,3835,Intermediate
0,0,0,0,0,51,31,0,3692,Intermediate
60,60,60,0,0,49,30,7,3563,Intermediate
0,0,0,0,0,2,12,2,3399,Intermediate
10,10,10,0,0,54,31,2,3323,Intermediate
0,0,0,0,0,14,12,1,3188,Intermediate
10,10,10,0,0,49,23,1,2589,Intermediate
0,0,0,0,0,17,25,2,5898,Intermediate
0,0,0,0,0,27,21,1,5635,Intermediate
10,10,10,0,0,67,37,2,5407,Intermediate
10,10,10,0,0,28,25,1,5214,Intermediate
0,0,0,0,0,22,21,2,4974,Intermediate
0,0,0,0,0,80,42,5,4954,Intermediate
0,0,0,0,0,22,19,1,4732,Intermediate
10,10,10,0,0,88,52,6,4729,Intermediate
10,10,10,0,0,43,26,2,4598,Intermediate
10,10,10,0,0,23,19,2,4552,Intermediate
0,0,0,0,0,61,39,2,4502,Intermediate
0,0,0,0,0,49,34,1,4247,Intermediate
0,0,0,0,0,47,37,10,3817,Intermediate
10,10,10,10,0,30,14,2,3376,Intermediate
10,10,10,0,0,54,32,4,3107,Intermediate
0,0,0,0,0,31,32,3,6029,Intermediate
10,10,10,0,0,7,19,3,5982,Intermediate
0,0,0,0,0,8,20,1,5957,Intermediate
0,0,0,0,0,25,32,1,5668,Intermediate
0,0,0,0,0,12,18,2,5242,Intermediate
0,0,0,0,0,48,34,4,5117,Intermediate
10,10,10,0,0,41,31,5,5104,Intermediate
10,10,10,0,0,54,43,14,4980,Intermediate
10,10,10,0,0,55,35,6,4947,Intermediate
0,0,0,0,0,55,28,4,4946,Intermediate
0,0,0,0,0,40,29,2,4818,Intermediate
10,10,10,0,0,26,20,1,4546,Intermediate
0,0,0,0,0,32,18,0,4330,Intermediate
10,10,10,0,0,40,39,0,4125,Intermediate
0,0,0,0,0,31,20,1,3916,Intermediate
90,90,90,20,0,7,12,1,3754,Intermediate
0,0,0,0,0,6,11,2,3513,Intermediate
0,0,0,0,0,23,26,4,6015,Intermediate
0,0,0,0,0,15,20,1,5881,Intermediate
40,40,40,0,0,70,47,11,5843,Intermediate
0,0,0,0,0,34,29,4,5676,Intermediate
0,0,0,0,0,42,38,9,5570,Intermediate
0,0,0,0,0,38,35,5,5508,Intermediate
0,0,0,0,0,56,38,6,5493,Intermediate
10,10,10,0,0,37,25,1,5369,Intermediate
0,0,0,0,0,37,29,1,5476,Intermediate
0,0,0,0,0,94,60,18,5434,Intermediate
38,38,38,0,0,94,50,9,5179,Intermediate
0,0,0,0,0,25,24,0,5114,Intermediate
0,0,0,0,0,32,19,2,5047,Intermediate
10,10,10,0,0,86,36,5,4839,Intermediate
0,0,0,0,0,18,20,2,4744,Intermediate
0,0,0,0,0,30,22,4,4536,Intermediate
0,0,0,0,0,11,21,1,4487,Intermediate
20,20,20,10,0,33,30,3,3258,Intermediate
20,20,20,0,0,70,41,4,3189,Intermediate
20,20,20,0,0,26,23,1,3100,Intermediate
20,20,20,0,0,44,18,5,1254,Intermediate
0,0,0,0,0,15,22,1,5575,Intermediate
10,10,10,10,0,44,33,3,5497,Intermediate
0,0,0,0,0,26,25,2,5380,Intermediate
10,10,10,10,0,70,51,10,5332,Intermediate
20,20,20,10,0,48,36,4,5286,Intermediate
0,0,0,0,0,66,41,9,5163,Intermediate
10,10,10,0,0,56,44,4,5117,Intermediate
0,0,0,0,0,30,27,9,4697,Intermediate
0,0,0,0,0,40,29,2,4659,Intermediate
10,10,10,10,0,49,32,4,4629,Intermediate
10,10,10,0,0,37,25,3,4610,Intermediate
20,20,20,0,0,2,14,2,4547,Intermediate
10,10,10,0,0,21,19,3,4459,Intermediate
0,0,0,0,0,28,16,1,4185,Intermediate
0,0,0,0,0,38,27,2,4017,Intermediate
120,120,120,0,0,170,66,5,4607,Expert
157,157,157,13,0,144,93,12,4488,Expert
252,252,252,30,0,108,53,7,2922,Expert
28,28,28,10,0,196,156,42,5401,Expert
40,40,40,0,0,211,130,24,4850,Expert
70,70,70,10,0,191,135,26,5465,Expert
19,19,19,0,0,127,98,11,5981,Expert
60,60,60,10,0,184,143,29,5549,Expert
18,18,18,0,0,95,103,10,4243,Expert
50,50,50,10,0,111,76,12,5836,Expert
